gene,logFC,logCPM,PValue,FDR
ZDHHC22,1.105234106,5.863467072,8.13E-74,1.03E-71
FAM20C,-1.49878299,4.508612076,8.4E-74,1.06E-71
SLC38A2,-0.927577199,8.582592281,3.26E-73,4.09E-71
PRAMEF14,-1.56599111,4.187929295,3.58E-73,4.47E-71
WNK4,-3.017030001,2.212561878,5.85E-73,7.3E-71
CABIN1,1.018169411,6.861621796,1.26E-72,1.57E-70
CCND1,-1.073973197,6.56027776,1.71E-72,2.12E-70
PRAMEF7,-1.336783837,4.684773521,4.61E-72,5.7E-70
CFDP1,1.530316459,5.468662485,7.26E-72,8.91E-70
TIMP4,-1.84466135,3.577120975,9.73E-72,1.19E-69
SULF2,-1.295730051,4.690830245,1.9E-71,2.31E-69
SVIL,-1.21939654,5.261328745,2.99E-71,3.63E-69
FOXD3,-1.347414156,4.681014744,6.5E-71,7.88E-69
ZNF398,-1.152150925,5.733085313,1.09E-70,1.31E-68
THBS3,-1.864524025,3.384536274,1.48E-70,1.78E-68
MAP3K11,-1.2608336,4.85637046,1.6E-70,1.93E-68
WDR81,-1.441814845,4.219456868,2.41E-70,2.88E-68
PHACTR2,-1.209086234,6.202654798,2.67E-70,3.19E-68
MAEA,-1.093266504,6.04952869,3.67E-70,4.37E-68
SYT13,1.691038274,3.684162462,7.35E-70,8.68E-68
THBS2,-1.341949208,4.48367713,7.74E-70,9.12E-68
CHKA,-1.029849182,6.24051506,1.11E-69,1.3E-67
C14orf132,1.302421678,4.698276238,1.31E-69,1.54E-67
PIAS2,1.126205985,5.765133432,1.92E-69,2.24E-67
SYNDIG1L,3.900212143,1.831048332,2.28E-69,2.64E-67
MTG1,-1.145039375,5.314320763,2.43E-69,2.81E-67
VGLL3,-2.529921195,4.145408287,2.56E-69,2.96E-67
KLHL24,1.456276822,5.181762065,2.77E-69,3.19E-67
ZSCAN4,-0.949112228,7.075890719,3.47E-69,3.98E-67
GPC2,1.563984089,4.863019883,4.15E-69,4.76E-67
ATAD3B,-1.081718547,6.202385484,5.04E-69,5.76E-67
MT-ND3,-1.43547215,8.338101633,8.53E-69,9.73E-67
ATP1B2,1.466559416,4.410970903,1.07E-68,1.21E-66
LRIG2,1.10973243,5.568793826,1.28E-68,1.45E-66
MYOCD,-2.459685572,2.856593268,1.35E-68,1.53E-66
ZBTB25,1.186623247,5.800890143,1.8E-68,2.03E-66
ANKRD11,-1.111372654,7.534136611,2.14E-68,2.41E-66
TMEM30A,0.960666972,7.154279273,2.42E-68,2.71E-66
DNMT3A,-1.001583144,6.533079556,8.14E-68,9.04E-66
MT-CO2,-0.972165123,11.16134316,8.61E-68,9.54E-66
SLC22A3,-2.673028152,2.326910031,1.25E-67,1.38E-65
SSPN,3.176580612,1.979767822,1.57E-67,1.73E-65
PKDCC,-1.570796505,4.117189776,1.9E-67,2.09E-65
ADM2,-1.795790489,3.518585532,1.96E-67,2.15E-65
RPL7L1,-1.023285674,6.843158286,1.96E-67,2.15E-65
BEND5,2.356942312,2.655219627,2.06E-67,2.25E-65
PCK2,-1.087764267,6.096879439,2.94E-67,3.2E-65
BCOR,-0.997192925,6.304600484,3.09E-67,3.35E-65
VIM,-0.916226718,8.970396966,4.85E-67,5.26E-65
VSIG10,-1.048107489,5.795546011,5.06E-67,5.47E-65
ADAMTS1,-1.186946742,5.208192505,5.16E-67,5.57E-65
GPR160,1.541850086,4.399869647,6.01E-67,6.47E-65
CAV2,-1.945955946,3.276619568,7.11E-67,7.64E-65
POU2F1,0.963275044,6.820897555,7.3E-67,7.82E-65
ANKRD36,1.562762919,3.860822692,1.02E-66,1.09E-64
ZSCAN5C,-1.25169424,5.891678721,1.05E-66,1.12E-64
ARHGAP19,1.182587714,5.988331662,1.09E-66,1.16E-64
INSM1,-2.572680198,2.808193848,2.03E-66,2.13E-64
NXF1,-1.020400595,7.33862824,2.11E-66,2.21E-64
NGFR,1.373950971,4.511690758,2.66E-66,2.79E-64
CCL28,3.216463141,2.033610643,6.24E-66,6.49E-64
FAM71F1,-2.299279765,2.687688409,7.53E-66,7.8E-64
HTR5A,7.434271755,1.027723512,1.1E-65,1.14E-63
ITGA3,-1.033734268,6.298265625,1.3E-65,1.35E-63
HDAC9,-1.446497689,4.492987887,1.55E-65,1.59E-63
HRK,-2.389847701,2.63467396,2.08E-65,2.14E-63
TUBB3,-0.943976611,7.551772069,2.79E-65,2.86E-63
DRAXIN,-1.219065247,5.17539983,3.33E-65,3.4E-63
RSBN1,1.310096632,4.829733921,3.96E-65,4.03E-63
PLEKHH2,2.057702653,2.986809072,4.87E-65,4.95E-63
SLC25A37,1.104180283,5.361567543,6.09E-65,6.18E-63
ICAM1,2.11126684,3.048725576,7.35E-65,7.45E-63
TRANK1,1.846186556,3.374377857,9.61E-65,9.69E-63
CNOT6L,1.315380588,4.466565383,1.27E-64,1.27E-62
AC092143.1,-0.9417376,7.548102128,1.81E-64,1.82E-62
SLC34A2,-1.048899615,8.230446505,2.75E-64,2.76E-62
NUF2,1.192612272,4.787141271,4.18E-64,4.18E-62
ZFAND5,-0.885276828,7.602335428,5.34E-64,5.32E-62
BCL6B,3.042807495,1.917531731,5.56E-64,5.54E-62
CD44,-1.718362479,3.788719277,6.71E-64,6.67E-62
CDH13,-1.72652428,3.651868126,9.5E-64,9.4E-62
XPNPEP1,1.006486351,6.16692405,9.98E-64,9.85E-62
SP5,3.71846016,1.594768883,1.11E-63,1.09E-61
FLT1,-0.937477487,6.58991103,1.79E-63,1.76E-61
MT-CO3,-0.872733205,11.93600466,2.03E-63,2E-61
CACNG4,-2.617130718,2.789727602,2.19E-63,2.14E-61
MT-CYB,-0.889255256,11.00252016,3.26E-63,3.18E-61
TRIM9,1.65009982,3.861015186,3.46E-63,3.37E-61
NUP58,1.075691479,6.970168587,3.94E-63,3.83E-61
PRKAR1B,-1.150566987,5.400496041,4.3E-63,4.17E-61
FUS,-0.967552338,8.240238134,6.54E-63,6.32E-61
IFRD1,-1.098890284,6.280891151,9.54E-63,9.21E-61
TAF1D,1.002117459,7.167896282,9.97E-63,9.6E-61
TRIM43B,-1.511060298,4.225690912,1.32E-62,1.27E-60
KDM5B,0.848737045,8.651438019,1.65E-62,1.59E-60
CNTRL,1.300821685,4.49624115,1.74E-62,1.67E-60
