gene,Zygote,2C,4C,8C,Morula,ICM,TE
MLT2A1_dup2191,0,0,0.039095359,0.098578289,0,0,0.113628977
MLT2A1_dup1054,0,0,0.165069277,0.097799662,0,0,0
MLT2A1_dup1686,0,0,0.304943769,0.097570442,0.113607551,0,0
MLT2A1_dup657,0,0.008210015,0.030438307,0.095341905,0.344027556,0.046093001,0
MLT2A1_dup2159,0,0,0.425042183,0.07580917,0.111026223,0,0
MLT2A1_dup3074,0,0,0.131117541,0.071900346,0.018739073,0,0
MLT2A1_dup2676,0,0,0.020242503,0.070379811,0,0,0
MLT2A1_dup898,0,0,0.244663251,0.06994868,0.013826476,0,0
MLT2A1_dup2941,0,0,0.017259254,0.068724417,0.015605754,0,0.026259751
MLT2A1_dup2236,0,0,0.014833415,0.068433825,0.013412319,0,0
MLT2A1_dup3657,0,0,0,0.057590929,0,0,0
MLT2A1_dup1639,0.080872881,0.399115361,0.192170203,0.056928161,0.086879795,0,0
MLT2A1_dup1467,0,0,0.03717131,0.056161874,0,0,0
MLT2A1_dup2429,0,0,0.036096477,0.052578363,0,0,0
MLT2A1_dup1595,0,0,0.19340735,0.052059365,0.024982602,0,0.0423306
MLT2A1_dup2749,0,0,0.124376447,0.050626498,0.013505676,0,0
MLT2A1_dup1038,0,0,0,0.049196268,0,0,0
MLT2A1_dup2858,0,0,0.031634898,0.048236518,0,0,0
MLT2A1_dup136,0,0,0.486405416,0.048180748,0,0,0
MLT2A1_dup1766,0,0,0.130698093,0.046271897,0.015440176,0,0
MLT2A1_dup821,0,0,0.471005994,0.045758696,0,0,0
MLT2A1_dup1129,0,0,0.105747515,0.043310652,0.015158714,0,0
MLT2A1_dup1580,0,0,0.018331193,0.04212932,0,0,0
MLT2A1_dup1862,0,0,0.245337522,0.041779679,0,0,0
MLT2A1_dup455,0.012660007,0,0.375166232,0.040758189,0,0,0
MLT2A1_dup2675,0,0,0.017213107,0.038619071,0.015564028,0,0
MLT2A1_dup1037,0,0,0.228750825,0.038083405,0.014773975,0,0
MLT2A1_dup1039,0,0,0,0.037986991,0,0,0
MLT2A1_dup2639,0,0,0,0.036042366,0,0,0
MLT2A1_dup85,0,0,0.318978219,0.034866437,0,0,0
MLT2A1_dup3514,0.017003866,0.034902876,2.705290663,0.034247031,0,0,0
MLT2A1_dup1624,0,0,0,0.030026401,0,0,0
MLT2A1_dup356,0,0,0,0.029860421,0.034990394,0,0
MLT2A1_dup2198,0.017762569,0.181844355,0.016896855,0.023629703,0,0,0
MLT2A1_dup1693,0,0,0.0167169,0.020801068,0.03227081,0,0
MLT2A1_dup719,0,0.007786628,0.01915322,0.020185913,0.013051449,0,0
MLT2A1_dup2449,0,0,0,0.016111487,0.01949218,0,0
MLT2A1_dup307,0,0,0.274925756,0.015667033,0,0,0
MLT2A1_dup644,0,0,0,0.009607524,0,0,0
MLT2A1_dup1773,0,0,0.043993407,0.008688353,0.013259559,0,0
MLT2A1_dup1420,0,0,0.016764849,0.007815032,0,0,0
MLT2A1_dup1751,0,0,0.179180567,0.007582877,0,0,0
MLT2A1_dup107,0,0,0.415335599,0,0,0,0
MLT2A1_dup129,0,0,0,0,0,0,0
MLT2A1_dup2652,0,0,0,0,0,0,0
MLT2A1_dup2674,0,0,0,0,0,0,0
MLT2A1_dup2757,0,0,0,0,0,0,0
MLT2A1_dup2830,0,0,0,0,0,0,0
MLT2A1_dup2831,0,0,0,0,0,0,0
MLT2A1_dup2859,0,0,0,0,0,0,0
MLT2A1_dup2965,0,0,0,0,0,0,0
MLT2A1_dup2974,0,0,0,0,0,0,0
MLT2A1_dup3013,0.138935462,0,0,0,0,0,0
MLT2A1_dup3061,0,0,0.435599515,0,0,0,0
MLT2A1_dup3086,0,0,0,0,0,0,0
MLT2A1_dup3087,0,0.251845507,0,0,0,0,0
MLT2A1_dup3088,0,0,0,0,0,0,0
MLT2A1_dup3134,0,0,0.093300026,0,0,0,0
MLT2A1_dup3402,0,0,1.685475234,0,0,0,0
MLT2A1_dup3411,0,0,0,0,0,0,0
MLT2A1_dup3439,0,0,0,0,0,0,0
MLT2A1_dup3449,0.169188467,0.173641808,18.37530611,0,0,0,0
MLT2A1_dup3495,0,0,0.149713995,0,0,0,0
MLT2A1_dup3497,0,0,0,0,0,0.10050175,0
MLT2A1_dup3553,0,0,4.734487258,0,0,0,0
MLT2A1_dup494,0,0,0,0,0,0,0
MLT2A1_dup3638,0,0,0,0,0,0,0
MLT2A1_dup3643,0,0,1.974482643,0,0,0,0
MLT2A1_dup3658,0,0,0,0,0,0,0
MLT2A1_dup643,0,0,0,0,0,0,0
MLT2A1_dup724,0,0,0,0,0,0,0
MLT2A1_dup734,0,0,0.388661469,0,0,0,0
MLT2A1_dup771,0,0,0.613114456,0,0,0,0
MLT2A1_dup1073,0,0,2.09689575,0,0,0,0
MLT2A1_dup1077,0,0,0,0,0,0,0
MLT2A1_dup1089,0,0.549862691,0,0,0,0,0
MLT2A1_dup1246,0,0,0,0,0,0,0
MLT2A1_dup1419,0,0,0,0,0,0,0
MLT2A1_dup1581,0,0,0,0,0,0,0
MLT2A1_dup1582,0,0,0,0,0,0,0
MLT2A1_dup1679,0,0,0.919671684,0,0,0,0
MLT2A1_dup1734,0.088827591,0,0,0,0,0,0
MLT2A1_dup1748,0,0,0.344876882,0,0,0,0
MLT2A1_dup1767,0,0,0.3576501,0,0,0,0
MLT2A1_dup1788,0,0,0,0,0,0,0
MLT2A1_dup1893,0,0,0.473360426,0,0,0,0
MLT2A1_dup2070,0,0,0,0,0,0,0
