gene,8C_C1,8C_C2,2PN_1,2PN_2,2PN_3,2PN_4,2PN_5,2PN_6,2PN_7,2PN_8,2PN_9,2PN_10,3PN_1,3PN_2,3PN_3,3PN_4
GAP43,-0.291153343,-0.368321288,-1,0.333788329,-1,0.181223132,-0.453260838,-0.539418752,-1,-0.440515432,-1,0.02283649,-0.590504772,-1,-1,-0.611736235
MECP2,-0.13280838,-0.527253202,0.288300658,0.472151086,-0.206525187,0.183618848,-0.194169434,0.210959454,-0.033704437,-0.211760195,-0.01381756,-0.06221334,-0.372588565,0.053254047,-0.119748783,0.177005788
DIP2C,-0.323153271,-0.337252365,0.362715582,0.859083031,-0.151792957,-0.010445226,-0.461139721,0.066680672,-0.521164354,-0.51592477,-0.461456552,0.233877519,-0.420052431,-0.886311152,0.105318712,-0.008597849
MAATS1,-0.598273688,-0.063327749,-1,-1,-1,-0.543789642,-0.940014193,-0.005618786,-0.709423861,-1,-0.305771265,-1,-0.938002319,-1,-1,-0.022857412
ARNTL,-0.210917673,-0.450953801,0.875125418,1.190138044,0.326578752,0.196100709,-0.179389012,0.435092456,-0.033758274,-0.21757647,0.196008904,0.279005876,-0.161339648,0.16651655,0.505727071,0.611352035
RIMKLA,-0.117599975,-0.544371122,0.816928543,1.211771859,0.115627032,-0.746001299,-0.660098042,0.270783132,0.241191588,-0.446559424,0.228754512,0.127766286,-0.508463237,-1,0.323625839,0.676591425
MFSD4A,-0.326307736,-0.336707968,0.657854533,0.919291893,-0.341393655,-0.080880373,-0.865325012,0.133189396,-0.237929069,-0.337478378,0.033227006,-0.152200113,-0.486797601,-0.724664487,-0.684759437,0.037248983
EDIL3,-0.382067137,-0.282829306,-0.388550628,0.271495194,-1,-0.523508204,-1,-0.805855618,-0.187584363,-0.634993188,-0.440631252,0.074648613,-0.388417728,-1,-0.394813189,-0.221535808
OVCH1,-0.251234126,-0.415292663,0.091998091,0.815212495,-0.173554326,0.109967786,0.024203736,0.193127382,0.583289932,-0.184447619,-0.006346853,0.442097516,-0.151145413,-0.145680231,0.418064188,0.103195283
ZNF646,-0.335154555,-0.332092257,0.501333452,1.112534624,-0.034772233,0.292310133,0.031454234,0.301289192,0.014275812,0.23680773,-0.019524482,-0.068239805,-0.408451035,-0.034580642,0.016987235,0.385275691
DDX60L,-0.428291517,-0.239848432,-0.451462566,-0.678082334,-0.321462137,-0.171484849,-0.287685154,-0.325376639,0.071179207,0.140076991,-0.26314124,-0.497053267,-0.673407735,-0.202747559,-0.248373138,-0.537322197
HIP1R,-0.286690857,-0.382154237,0.890163048,1.307015909,0.068447844,0.208641527,-0.122142793,0.556380184,0.402662124,-0.181730283,0.324153177,0.316118652,-0.194059768,0.017888933,0.232782466,0.364983574
WFS1,-0.322491505,-0.349746791,0.491777577,1.444511334,-0.358021588,0.231478511,-0.447891983,0.776590635,-0.130318901,0.067755437,0.127931763,0.294820792,-0.243254837,-0.303255803,0.67868196,0.237022423
KCNJ8,-0.598586879,-0.075474063,0.079147225,0.079766064,-1,-1,-1,-0.285310461,-0.652640122,-0.307209816,-0.119290194,-0.571555153,-0.111773708,-0.19671896,-0.380709089,0.140191477
TGM7,-0.329797486,-0.350756781,1.009748256,1.707748711,-0.278294634,-0.083836204,-0.838348122,0.415644482,0.685296112,-0.178063846,-0.189738508,0.686305597,-0.419865452,0.191632352,-0.228152975,0.784352285
MEI1,-0.345817103,-0.335812203,0.177656816,0.695960275,0.27282891,0.194239526,0.347050806,0.462265593,0.264743703,0.599730933,0.21463433,0.638680604,0.239176307,0.246905849,0.166206544,-0.731204421
ATP6V1G2,-0.208645972,-0.474312912,-0.137729347,-1,-0.326756194,0.26072949,-0.078138074,0.186821621,-0.088080035,-0.088916467,-0.435190654,0.605749566,-0.34150361,0.047060199,0.45529005,-0.368835467
HSF5,-0.496417256,-0.186731803,0.91022797,1.103032249,-0.058380902,-0.006403705,0.213127115,0.433803265,0.51222505,0.249731662,0.707417209,0.686775739,-0.165876664,-0.420207946,0.608859221,0.365722852
PHKB,-0.227408264,-0.456288223,0.138859501,0.623954549,0.275695483,0.230477788,0.428437884,0.488953098,-0.395926409,0.678859398,0.107365677,0.439929084,0.359067677,0.004465742,-0.001980244,0.340769813
ZMYND11,-0.460850856,-0.222912916,0.631542184,0.892249251,0.13137258,0.415373883,-0.078431502,0.398576912,0.344946088,0.360324689,0.145665887,0.439705238,0.118541158,0.096296704,0.696958217,0.940982802
TRIM64,-0.208984962,-0.476567405,-1,-1,-0.499823787,-1,-0.625003975,-0.06046103,-0.853615031,0.118639321,0.07164308,0.132819492,-1,-1,0.054790719,-0.528045762
JMJD7,-0.330596734,-0.356070454,0.885766994,1.487782266,0.033730508,-0.465800973,-0.276772454,0.603355512,0.27546477,-0.02812648,0.056241474,0.022138456,-0.492041097,0.045761747,0.1992773,0.472184471
OR10G3,-0.409872586,-0.278780081,-1,-1,-0.008514356,-0.008482292,-1,-0.141553641,-1,-0.574947618,-0.82893154,-0.331938154,-0.691954275,-0.531476033,-1,0.210318252
ATXN7L2,-0.105159169,-0.584119552,0.872359075,1.232776141,-0.104830963,-0.104162227,-0.466733888,0.759515734,-0.093887626,-0.428994621,0.016123212,0.139876878,-0.332812902,-0.147404697,0.595971117,0.229069132
KDM6B,-0.382923507,-0.308911255,0.700729757,0.939919966,-0.739062819,-0.258556316,-0.562222493,0.37986421,-0.612411583,-0.755666214,-0.105230824,0.020209212,-0.65720872,-0.183068952,0.090032556,0.323899861
ANKS4B,-0.211095226,-0.481297644,0.588140558,1.194053718,-0.227921552,-0.94991859,-0.434370564,0.113952038,0.153395301,-0.165408855,0.500514477,0.020784348,-0.860641561,-1,0.402838911,0.546299292
GATM,-0.28461396,-0.409673429,-0.192394016,-0.216889661,0.154984208,0.09041643,-0.605450439,0.45961365,0.372894888,-0.566471935,0.081183426,0.371760518,-0.102245772,0.097405868,-0.277832042,0.308016024
