gene,8C_R1,8C_R2,2PN_1,2PN_2,2PN_3,2PN_4,2PN_5,2PN_6,2PN_7,2PN_8,2PN_9,2PN_10,3PN_1,3PN_2,3PN_3,3PN_4
ASMTL,0.897581076,0.90050974,0.189565544,1.17239741,0.847195387,0.766569953,0.592463453,1.24995838,0.678341985,0.794398808,0.996282162,0.585622122,0.536979782,0.692286732,1.401596102,0.134014775
FAM9A,0.941612988,0.987291144,-1,-1,1.217940372,0.974893823,0.44932826,0.499166167,0.809303708,-0.289295084,0.954107664,0.577568886,-0.566317034,1.158440296,-0.057123334,-1
FAM9B,0.084865711,0.009014342,-1,-1,0.562070068,0.12544548,0.190731065,-0.036321563,-0.331446362,-0.412911746,0.20871002,-0.706999951,-1,0.346377819,-0.900972604,0.008275479
FANCB,1.135803142,1.222493545,0.374800568,0.943544224,1.054600799,0.968767808,0.953078441,1.046845034,1.037640007,0.819479576,1.635275095,1.419597101,0.881445716,1.265061809,0.889881421,0.633105314
PDK3,0.082194543,0.105089311,-0.278635858,0.368793793,0.49120518,0.162163978,0.452276467,0.21241748,0.388581077,0.262634262,0.719968172,0.578620646,0.098417695,0.647223406,0.212026379,-0.163784028
MAGEB3,-0.043369369,-0.212536762,-1,-1,0.720828841,0.853553727,1.353450542,0.725380358,0.780016731,1.157409014,1.589184838,1.405020389,-0.389886668,0.981225406,0.515419583,-1
DYNLT3,0.543849477,0.656132427,-1,-1,1.092102792,1.121402248,1.299634104,-0.08852028,0.593920206,1.078329194,1.077222147,0.864086368,0.689126932,0.991738905,0.203727583,-1
H2AP,0.777765788,0.924648176,-1,-1,-1,0.355793342,0.682392761,-1,-0.044059105,-1,0.852132846,0.278976177,-1,1.11018519,-1,-1
SYTL5,0.399441978,0.412245447,-1,-1,0.075053264,-0.005257737,-0.527935317,-0.249327329,-0.232792912,-1,-0.133956052,0.088682778,-1,0.012973901,-0.608327748,-1
KRBOX4,0.813608807,0.538441012,-0.117852204,-1,1.093172945,1.000982175,1.125572669,0.555426998,1.126256123,0.768750175,1.616945054,1.386749304,0.858321681,0.930122424,0.392697657,-0.106826737
ZNF674,0.101747761,-0.004346425,-0.216543874,-1,0.45022077,0.243674134,0.286124671,-0.10928413,0.075942026,-0.929321144,0.254074131,0.141098433,-0.05010626,0.200607849,0.092626268,-0.197393254
ZNF157,0.772854125,0.737040693,-0.492587011,-1,1.207308996,0.332756893,0.859063446,1.127582907,1.317586393,1.303317902,1.504628784,1.355378333,0.405874945,1.013898052,1.126521026,-1
TIMP1,1.277808096,1.266696092,0.032300659,0.274399185,1.168883875,1.116353667,1.599549039,1.048472102,1.162098799,1.073768923,1.148286381,1.16120983,0.870084447,0.787103044,0.349328435,-1
UXT,2.436344917,2.447111187,1.370598571,1.33761498,2.366071457,2.478084898,2.508550322,1.881417128,2.475704304,2.159371657,2.596311577,2.50798641,2.128866595,2.543872444,1.997141293,1.888277691
ZNF630,0.2054404,0.213562379,0.210676404,0.109516452,0.590563766,0.655092793,0.36302538,0.285740664,-0.467239126,-0.092973601,0.345240187,0.292877156,-0.410129115,1.100945432,-0.002454607,-0.306507141
SSX1,1.239542466,1.226594235,-1,-1,1.321768222,2.048140257,1.77181919,-0.041217496,1.23821552,1.225905252,1.406221411,1.433803105,-0.28397252,1.795408152,-1,-1
PQBP1,1.838845755,1.742007993,1.018329276,1.328996556,2.133277614,2.110723008,2.089593225,1.743796038,2.073277602,1.99042202,2.228334902,2.253244205,1.787546333,2.314378586,1.911003367,0.669673005
AC231657.3,1.582662549,1.570231467,1.03422124,1.299935063,2.560523053,2.209055545,2.484893065,1.405840147,2.244775716,2.457469954,2.410000544,2.698084792,2.105088288,2.724513847,2.02931396,0.39560558
WDR45,1.384631324,1.355153331,0.515417462,0.798057211,2.207186919,1.931870813,2.178748235,0.87292764,1.81211044,2.081501768,2.051762808,2.340087609,1.738272819,2.37246736,1.653830316,0.035701757
SYP,-0.128143406,0.081757641,-1,-0.521151809,-0.294503199,-0.086510825,0.09704827,-0.136915294,-0.26095926,-0.123968218,-0.036832098,0.356978156,-0.429673444,0.379677274,-0.204540444,-1
GAGE12H,0.661476663,0.270464081,-1,-1,2.343483826,2.296934457,1.760563682,0.086876405,0.879210089,0.478904854,1.471346581,1.600163091,1.262634499,2.150659442,-0.572847855,-1
SSX7,0.157511769,0.131515371,-0.829936756,-1,0.546567709,0.615119682,1.230125124,-0.826797963,-0.835897679,0.363413212,-0.115904431,-0.040749385,-0.653531425,0.27156422,-0.78032789,-1
TSPYL2,0.108165045,0.018174201,-0.298944059,0.54556811,0.243320124,0.349431398,0.240025783,0.668887675,0.489162528,0.364667855,0.507399353,0.5488219,0.240989061,0.74230076,0.681855872,-1
PAGE2B,1.601812482,1.392181296,-1,-1,2.911677066,2.927230504,2.829601179,1.60059362,2.013262878,1.883288293,2.044036189,2.464781562,1.725137948,2.680446476,1.50009013,-1
FAM104B,1.283411598,1.169912966,0.933571911,0.524316007,1.65467401,1.69602543,1.824044762,0.631251846,1.541461794,1.480554786,1.565171894,1.937897708,1.307543102,1.822770441,0.576489699,1.095118419
SPIN2B,0.365137413,0.293629238,-1,-1,1.101978934,0.164187733,0.257737117,0.735214491,0.428576156,0.629057841,0.756535699,0.923873962,-0.364302778,0.104154435,0.131704296,0.271711996
